filename,movie_name,hint,category,difficulty
BhaagMilkhaBhaag.jpg,Bhaag Milkha Bhaag,"""The Flying Sikh""",Sports,Easy
chanduchampion.jpg,Chandu Champion,"""Kartik Aryan""",Sports,Hard
missionistanbul.jpg,Mission Istanbul,"""Turkiye""",Spy,Medium
ramterekitnenaam.jpg,Ram Tere Kitne Naam,"""No hint""",Religious,Medium
SalaamNamaste.jpg,Salaam Namaste,"""Set In Australia""",Romantic,Easy
Padmaavat.jpg,Padmaavat,Khilji,Drama,Easy
Tango_Charlie.jpg,Tango Charlie,Indian Army,War,Medium
Uri_The_Surgical_Strike.jpg,Uri The Surgical Strike,Surgical strike,War,Easy
Taare_Zameen_Par.jpg,Taare Zameen Par,ADHD,Drama,Easy
Patthar_Ke_Phool.jpg,Patthar Ke Phool,Salman,Romantic,Easy
